Company,Company Name for Emails,Account Stage,# Employees,Industry,Website,Facebook Url,Website Status,Social Media Links,Email Addresses
L. Cox Flooring,L. Cox Flooring,Cold,3,construction,http://www.lcoxflooring.com,https://facebook.com/L-Cox-Flooring-101083361821576/,Online,['https://facebook.com/L-Cox-Flooring-101083361821576/'],['sales@lcoxflooring.com']
One Flooring,One Flooring,Cold,3,construction,http://www.oneflooring.co.uk,,Online,"['https://www.facebook.com/One-Flooring-1996516843990845/', 'https://www.instagram.com/oneflooringldn/?hl=en']",None
Veatu Flooring Ltd,Veatu Flooring,Cold,10,construction,http://www.veatuflooring.com,,Online,None,"['estimating@veatuflooring.com', '0256estimating@veatuflooring.comREQUEST']"
GB Flooring Group,GB Flooring Group,Cold,5,construction,http://www.gbflooring.org,,Online,"['https://www.facebook.com/114872943224598', 'https://www.facebook.com/114872943224598']","['Enquiries@GBFlooring.orgGet', 'Reserved.Enquiries@GBFlooring.org']"
Pinnacle Flooring Ltd,Pinnacle Flooring,Cold,9,construction,http://www.pinnacle.org.uk,,Offline or Error,None,None
Advanced Flooring Systems,Advanced Flooring,Cold,4,construction,http://www.advancedflooringsystems.co.uk,https://www.facebook.com/pg/AdvancedFlooringSystems,Online,"['https://www.facebook.com/pg/AdvancedFlooringSystems', 'https://www.facebook.com/pg/AdvancedFlooringSystems']",['info@advancedflooringsystems.co.uk']
Durham Flooring Ltd,Durham Flooring,Cold,4,construction,http://www.durhamflooring.co.uk,https://www.facebook.com/DurhamFlooring/,Online,"['https://www.facebook.com/DurhamFlooring/', 'https://www.instagram.com/durhamflooring/']",None
"Nexus Flooring, LLC.",Nexus Flooring,Cold,10,construction,http://www.nexus-flooring.com,https://www.facebook.com/people/Nexus-Flooring-LLC/100070274044996/,Offline or Error,None,None
Middlesex Flooring Ltd,Middlesex Flooring,Cold,10,construction,http://www.middlesexflooring.com,,Online,"['https://www.instagram.com/middlesex_flooring/?hl=en-gb', 'https://www.facebook.com/MiddlesexFlooring', 'https://www.instagram.com/middlesex_flooring/?hl=en-gb', 'https://www.facebook.com/MiddlesexFlooring']",['info@middlesexflooring.com']
AHTE FLOORING LLC,AHTE FLOORING,Cold,6,construction,http://www.ahteflooring.com,,Online,None,['info@ahteflooring.com']
1UP Floors,1UP Floors,Cold,7,construction,http://www.1upfloors.com,https://www.facebook.com/1UPFloors/,Online,"['https://www.facebook.com/1UPFloors/', 'https://www.instagram.com/1upfloors']",['info@1UPFloors.com']
Gridline Flooring Ltd,Gridline Flooring,Cold,7,construction,http://www.gridlineflooring.co.uk,,Online,None,['info@gridlineflooring.co.uk']
Anointed Flooring Inc,Anointed Flooring,Cold,10,construction,http://www.anointedflooring.com,https://facebook.com/pages/Anointed-Flooring-Inc/160917893992766,Online,None,['info@anointedflooring.com']
Gravity Flooring,Gravity Flooring,Cold,2,construction,http://www.gravityflooring.net,,Offline or Error,None,None
Hill Country Flooring,Hill Country Flooring,Cold,4,construction,http://www.hillcountryflooring.com,,Offline or Error,None,None
GNR Industrial Flooring Ltd,GNR Industrial Flooring,Cold,5,construction,http://www.gnrflooring.co.uk,https://www.facebook.com/profile.php,Online,['https://www.facebook.com/profile.php?id=100087134509627'],"['accounts@gnrflooring.co.uk', 'sales@gnrflooring.co.uk']"
Rees Flooring Limited,Rees Flooring Limited,Cold,10,construction,http://www.reesflooring.com,,Online,"['https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fsmall-office%2F', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fvinyl%2F', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fsectors%2F', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fcommercial-flooring%2F', 'https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Freesflooring.com%2Fpf%2Fmodern-bathroom%2F']","['enquiries@reesflooring.comWebsite', 'enquiries@reesflooring.com']"
"Aztec Flooring, Inc",Aztec Flooring,Cold,9,construction,http://www.aztecflooring.net,,Offline or Error,None,None
Rexwood Flooring,Rexwood Flooring,Cold,6,construction,http://www.rexwoodflooring.com,,Online,None,None
CTM Flooring,CTM Flooring,Cold,10,construction,http://www.ctmflooring.com.au,https://www.facebook.com/WheelhouseDigital/,Offline or Error,None,None
Hennessy Flooring Ltd,Hennessy Flooring,Cold,2,construction,http://www.hennessy-flooring.co.uk,https://www.facebook.com/hennessyflooring,Online,"['https://www.facebook.com/hennessyflooring', 'https://www.instagram.com/hennessyflooring/', 'https://www.instagram.com/hennessyflooring/', 'https://www.instagram.com/hennessyflooring/', 'https://www.facebook.com/hennessyflooring', 'https://www.instagram.com/hennessyflooring/']","['pageINFO@HENNESSY-FLOORING.CO.UK', '3HNinfo@hennessy-flooring.co.uk']"
Florock Polymer Flooring,Florock Polymer Flooring,Cold,5,construction,http://www.florock.net,https://facebook.com/florock,Online,None,None
CONTRACT FLOORING ASSOCIATION,CONTRACT FLOORING ASSOCIATION,Cold,9,construction,http://www.cfa.org.uk,,Online,"['https://www.instagram.com/cfa_association/', 'https://www.instagram.com/cfa_association/']",['info@cfa.org.uk']
Flooring Solutions,Flooring Solutions,Cold,2,construction,http://www.flooringsolutionsni.com,,Offline or Error,None,None
Lasercroft Resin Flooring,Lasercroft Resin Flooring,Cold,10,construction,http://www.lasercroft.com,https://www.facebook.com/Lasercroft-Flooring-487480967977221,Online,['https://www.facebook.com/Lasercroft-Flooring-487480967977221'],None
Precision Flooring Sydney,Precision Flooring Sydney,Cold,5,construction,http://www.precisionflooring.com.au,,Online,['https://www.instagram.com/precisionflooringau/'],None
ActiCrete LTD - Specialist Resin Flooring Solutions,ActiCrete,Cold,1,construction,http://www.acticrete.co.uk,https://www.facebook.com/ActiCrete,Online,"['https://www.facebook.com/ActiCrete', 'https://www.instagram.com/acticrete/']","['sales@acticrete.co.uk', '443990sales@acticrete.co.uk']"
Know-How Flooring Sydney,Know-How Flooring Sydney,Cold,2,construction,http://www.knowhowflooring.com.au,,Online,"['https://www.facebook.com/knowhowflooringau', 'https://www.instagram.com/knowhowflooringau/', 'https://www.facebook.com/knowhowflooringau', 'https://www.instagram.com/knowhowflooringau/', 'https://www.facebook.com/knowhowflooringau', 'https://www.instagram.com/knowhowflooringau/']","['enquiry@knowhowflooring.com.au', '924enquiry@knowhowflooring.com.au']"
Be Floored,Be Floored,Cold,9,construction,http://www.befloored.com.au,,Online,None,None
Multi-Hire Power Tools Limited - Flooring machine hire and sales.,Multi-Hire Power Tools Limited,Cold,8,construction,http://www.multi-hire.co.uk,https://www.facebook.com/multihirepowertoolslimited/,Online,"['https://www.facebook.com/multihirepowertoolslimited/', 'https://www.instagram.com/multihirepower', 'https://www.facebook.com/multihirepowertoolslimited/', 'https://www.instagram.com/multihirepower']",None
"FCICA, the Flooring Contractors Association",FCICA the Flooring Contractors Association,Cold,1,construction,http://www.fcica.com,https://www.facebook.com/FCICA-136101516527688/,Online,"['https://www.facebook.com/FCICA-136101516527688/', 'https://www.instagram.com/flooringcontractors/']",['info@fcica.com']
Limitless Flooring,Limitless Flooring,Cold,10,construction,http://www.limitlessflooring.co.uk,,Offline or Error,None,None
Resin Flooring Specialists,Resin Flooring Specialists,Cold,5,construction,http://www.resinflooringuk.com,https://www.facebook.com/Resin-Flooring-Specialists-265575883513427,Offline or Error,None,None
Oakley Products,Oakley Products,Cold,6,construction,http://www.oakleyproductssw.co.uk,,Online,"['https://www.facebook.com/Oakley-Products-105151775419405', 'https://www.instagram.com/oakleyproducts_woodflooring/', 'https://www.facebook.com/Oakley-Products-105151775419405', 'https://www.instagram.com/oakleyproducts_woodflooring/', 'https://www.facebook.com/Oakley-Products-105151775419405', 'https://www.instagram.com/oakleyproducts_woodflooring/']",['sales@oakleyproductssw.co.uk']
Aspect Flooring Solutions Ltd,Aspect Flooring Solutions,Cold,5,construction,http://www.aspectflooringsolutions.co.uk,,Online,"['https://www.facebook.com/aspectflooringsolutions/', 'https://www.facebook.com/aspectflooringsolutions/']","['InstagramCONTACTinfo@aspectflooringsolutions.co.uk', 'items.info@aspectflooringsolutions.co.uk']"
Designer Epoxy Solutions,Designer Epoxy Solutions,Cold,1,construction,http://www.deskentucky.com,,Offline or Error,None,None
"Sencor Flooring Co., Ltd.",Sencor Flooring,Cold,2,construction,http://www.sencorfloor.com,,Offline or Error,None,None
Falcon Solution Ltd,Falcon Solution,Cold,8,construction,http://www.falconsolutionbd.com,https://www.facebook.com/falconsolutionltdbd,Online,"['https://www.facebook.com/falconsolutionltdbd', 'https://www.instagram.com/falconsolutionltd', 'https://www.facebook.com/falconsolutionltdbd']",['falconsolution18@gmail.com']
"Stanley Flooring, UK",Stanley Flooring UK,Cold,2,construction,http://www.stanley-flooring.com,,Offline or Error,None,None
Flowstone Industrial Flooring Ltd,Flowstone Industrial Flooring,Cold,4,construction,http://www.ukindustrialflooring.co.uk,https://www.facebook.com/Flowstone-Industrial-Flooring-Ltd-710086709019646/info,Online,"['https://www.facebook.com/Flowstone-Industrial-Flooring-Ltd-710086709019646/info?tab=page_info', 'https://www.facebook.com/Flowstone-Industrial-Flooring-Ltd-710086709019646/info?tab=page_info']",None
Adapt Flooring Ltd,Adapt Flooring,Cold,4,construction,http://www.adaptflooring.co.uk,,Online,None,None
Contract Flooring Supplies,Contract Flooring Supplies,Cold,6,construction,http://www.contractflooring.ie,https://www.facebook.com/cfsltd/,Online,"['https://www.facebook.com/cfsltd/', 'https://www.instagram.com/contractflooringsupplies/', 'https://www.facebook.com/cfsltd/', 'https://www.instagram.com/contractflooringsupplies/', 'https://www.facebook.com/cfsltd/', 'https://www.instagram.com/contractflooringsupplies/']",['8422enquiries@contractflooring.ieOpen']
"National Flooring Contractors Apprenticeship Program, Inc",National Flooring Contractors Apprenticeship Program,Cold,1,construction,http://www.nfcap.org,,Online,"['https://www.facebook.com/nfcap', 'https://www.instagram.com/nfcap/', 'https://www.facebook.com/nfcap', 'https://www.instagram.com/nfcap/']","['Hereapply@nfcap.org', 'apply@nfcap.org']"
FEX Flooring Experts Co.,FEX Flooring Experts,Cold,2,construction,http://www.fex-sa.com,,Offline or Error,None,None
Southern Oaks Flooring,Southern Oaks Flooring,Cold,2,construction,http://www.southernoaksflooring.com,https://www.facebook.com/southernoaksflooring/,Online,"['https://www.instagram.com/southernoaksflooring/', 'https://www.facebook.com/southernoaksflooring/']",None
Concord Flooring Inc,Concord Flooring,Cold,8,construction,http://www.concordflooring.ca,,Online,None,None
Munoz Flooring Solutions,Munoz Flooring Solutions,Cold,8,construction,http://www.munozfloors.com,,Online,None,None
Conway Flooring and Decking,Conway Flooring and Decking,Cold,2,construction,http://www.conwayflooring.co.za,https://www.facebook.com/conwayflooringanddecking/,Online,"['https://www.facebook.com/conwayflooringanddecking/', 'https://www.instagram.com/conway_flooring_and_decking']",['info@conwayflooring.co.zabyron']
Rylex Flooring,Rylex Flooring,Cold,8,construction,http://www.rylexflooring.com.au,https://www.facebook.com/Rylex-Flooring-2062736307358943/,Offline or Error,None,None
Prestige Flooring (Bristol) Ltd,Prestige Flooring,Cold,1,construction,http://www.prestigeflooringltd.co.uk,https://www.facebook.com/people/Prestige-Flooring-Bristol/100027689396878/,Online,"['https://www.facebook.com/people/Prestige-Flooring-Bristol/100027689396878/?locale=en_GB', 'https://www.instagram.com/prestige_flooring_ltd/?hl=en-gb', 'https://www.facebook.com/profile.php?id=100027689396878', 'https://www.instagram.com/prestige_flooring_ltd/']","['info@prestigeflooringltd.co.ukABOUT', 'info@prestigeflooringltd.co.uk']"
Darwin Fisher Commercial Flooring,Darwin Fisher Commercial Flooring,Cold,3,construction,http://www.darwinfisher.com,,Offline or Error,None,None
FLOOR MASTER - Flooring Specialist UAE,FLOOR MASTER,Cold,6,construction,http://www.floormaster.ae,https://www.facebook.com/FLOORMASTER.AE,Online,"['https://www.facebook.com/FLOORMASTER.AE', 'https://www.facebook.com/FLOORMASTER.AE', 'https://www.facebook.com/FLOORMASTER.AE']",['sales@floormaster.ae']
FloorPro,FloorPro,Cold,6,construction,http://www.shopfloorpro.com,,Offline or Error,None,None
BlackRock Industrial Flooring,BlackRock Industrial Flooring,Cold,7,construction,http://www.blackrockindustrial.com,https://www.facebook.com/blackrockindustrial/,Offline or Error,None,None
Claymore Specialist Contracting,Claymore Specialist Contracting,Cold,6,construction,http://www.claymore-me.com,,Online,['https://www.instagram.com/claymore_me/?hl=en'],['1616info@claymore-me.comHOMEABOUT']
DECO CRETE,DECO CRETE,Cold,9,construction,http://www.decocrete.eu,,Online,None,None
Rebuildit Inc,Rebuildit,Cold,9,construction,http://www.rebuild-it.com,https://www.facebook.com/Rebuild-it-Services-Group-784981438257258/,Online,['https://www.facebook.com/Rebuild-it-Services-Group-784981438257258/?ref=hl'],['sales@rebuild-it.com']
360 Degree Flooring Ltd,360 Degree Flooring,Cold,3,construction,http://www.360degreeflooring.co.uk,https://www.facebook.com/360degreeflooring,Online,['https://www.facebook.com/360degreeflooring'],None
SURFACE SYSTEMS LIMITED,SURFACE SYSTEMS LIMITED,Cold,5,construction,http://www.surfacesystems.co.uk,,Online,None,"['868680enquiries@surfacesystems.co.uk', 'enquiries@surfacesystems.co.uk']"
Columbia Cabinets & Interiors,Columbia Cabinets & Interiors,Cold,2,construction,http://www.columbiacabinets.com,,Online,['https://www.instagram.com/columbiakitchencabinets'],None
Best Deck & Flooring,Best Deck & Flooring,Cold,6,construction,http://www.bestdeck.co.za,https://www.facebook.com/bestdeck/,Online,"['https://www.facebook.com/bestdeck/', 'https://www.instagram.com/bestdeckandflooring/']",['info@bestdeck.co.zafacebookyoutubeInstagramLinkedIn']
Weknowflooring,Weknowflooring,Cold,2,construction,http://www.weknowflooring.co.uk,http://www.facebook.com/ndbwkfsss/,Online,"['https://www.instagram.com/weknowflooring.co.uk/', 'http://www.facebook.com/ndbwkfsss/', 'https://www.instagram.com/weknowflooring.co.uk/', 'http://www.facebook.com/ndbwkfsss/']",['Info@weknowflooring.co.ukOPENING']
Ultimate Flooring Australia,Ultimate Flooring Australia,Cold,5,construction,http://www.ultimateflooringaustralia.com.au,https://www.facebook.com/ultimateflooringaust,Online,None,None
Nationwide Flooring Contracts Limited,Nationwide Flooring Contracts Limited,Cold,5,construction,http://www.nationwideflooring.co.uk,https://www.facebook.com/Nationwide-Flooring-578541778978635/,Online,['https://www.facebook.com/Nationwide-Flooring-578541778978635/'],['info@nationwideflooring.co.uk']
IMPERIAL FLOORING AUSTRALIA,IMPERIAL FLOORING AUSTRALIA,Cold,2,construction,http://www.imperialflooringaustralia.com.au,https://www.facebook.com/imperialflooringaustralia/,Online,"['https://www.instagram.com/imperialflooringaustralia/', 'https://www.facebook.com/imperialflooringaustralia/']",['info@imperialflooringaustralia.com.auSHOWROOM']
AMS Nyathi Flooring,AMS Nyathi Flooring,Cold,2,construction,http://www.amsnyathigroup.co.za,https://www.facebook.com/AmsNyathiGroup/,Online,"['https://www.facebook.com/AmsNyathiGroup?mibextid=LQQJ4d', 'https://www.instagram.com/_amstilelab?igsh=MWc1Y3B5bmZsaHZpNw==']",None
Flooring Center USA,Flooring Center USA,Cold,9,construction,http://www.flooringcenterusa.com,,Offline or Error,None,None
Urban Flooring Systems,Urban Flooring,Cold,7,construction,http://www.urbanflooringsystems.com,,Online,"['https://www.facebook.com/Urban-Flooring-Systems-209804619805241/', 'https://www.facebook.com/Urban-Flooring-Systems-209804619805241/', 'http://www.instagram.com/urbanflooringsystems/', 'http://www.instagram.com/urbanflooringsystems/']",['Info@urbanflooringsystems.com']
Sydney Flooring Group,Sydney Flooring Group,Cold,4,construction,http://www.sydneyflooringgroup.com.au,https://facebook.com/sydneyflooring/,Offline or Error,None,None
Waddington Flooring,Waddington Flooring,Cold,3,construction,http://www.waddingtonflooring.co.uk,https://www.facebook.com/profile.php,Online,"['https://www.facebook.com/profile.php?viewas=100000686899395&id=100085944805749', 'https://www.instagram.com/six_squared/']","['enquiries@waddingtonflooring.co.ukbottom', 'enquiries@waddingtonflooring.co.uk']"
Bravo Flooring,Bravo Flooring,Cold,9,construction,http://www.bravosfloorcovering.com,,Offline or Error,None,None
RGD Construction Las Vegas,RGD Construction Las Vegas,Cold,6,construction,http://www.rgdlv.com,,Online,"['https://www.facebook.com/RGDLV', 'https://www.instagram.com/rgdlv/']",None
Hoff Parquet,Hoff Parquet,Cold,1,construction,http://www.hoffparquet.co.uk,https://www.facebook.com/HoffParquetUK/,Online,"['https://www.instagram.com/hoffparquet/', 'https://www.facebook.com/HoffParquetUK/']","['info@hofftimber.com', '6ABinfo@hofftimber.com']"
Network Flooring & Maintenance,Network Flooring & Maintenance,Cold,6,construction,http://www.networkflooring.net,,Online,"['https://www.facebook.com/networkflooring.net/', 'https://www.facebook.com/networkflooring.net/', 'https://www.facebook.com/networkflooring.net/', 'https://www.facebook.com/networkflooring.net/', 'https://www.facebook.com/networkflooring.net/']",['221-2222Info@NetworkFlooring.net']
Columbus Epoxy Flooring,Columbus Epoxy Flooring,Cold,2,construction,http://www.columbusepoxyflooring.com,https://www.facebook.com/ColumbusEpoxyFlooring/,Offline or Error,None,None
Kingston Flooring,Kingston Flooring,Cold,8,construction,http://www.kingstonfloors.com,https://facebook.com/KingstonFlooring,Online,None,None
Gemstone Surfaces Ltd,Gemstone Surfaces,Cold,2,construction,http://www.gemstone-surfaces.com,https://www.facebook.com/GemstoneSurfacesLtd,Online,"['https://www.instagram.com/gemstonesurfaces/?hl=en', 'https://www.facebook.com/GemstoneSurfacesLtd', 'https://www.facebook.com/GemstoneSurfacesLtd', 'https://www.instagram.com/gemstonesurfaces/?hl=en']",['sales@gemstone-surfaces.com']
Cotswold Natural Stone Masonry Ltd,Cotswold Natural Stone Masonry,Cold,3,construction,http://www.apsmasonry.com,,Online,"['https://www.instagram.com/apsmasonry/', 'https://www.instagram.com/apsmasonry/']",['Contactenquiries@cns-group.co.ukFollow']
Floorcare USA,Floorcare USA,Cold,10,construction,http://www.floorcare-usa.com,https://www.facebook.com/Floorcareusa,Offline or Error,None,None
GR Flooring,GR Flooring,Cold,5,construction,http://www.grflooring.ca,https://www.facebook.com/GRFlooringInc/,Online,"['https://www.facebook.com/GRFlooringInc/', 'https://www.instagram.com/gr_flooring/']",None
BON VIEW TRADING,BON VIEW TRADING,Cold,9,construction,http://www.bvtrading.co.za,,Online,"['https://www.facebook.com/bonviewtrading/', 'https://www.facebook.com/bonviewtrading/']",['arno@bvtrading.co.za']
supagold.london,supagold.london,Cold,10,construction,http://www.supagold.london,,Online,"['https://www.instagram.com/supagold.london/', 'https://www.instagram.com/supagold.london/', 'https://www.instagram.com/supagold.london/']","['2BGenquiries@supagold.london', '8800enquiries@supagold.london']"
Concrete Flooring Network Ltd,Concrete Flooring Network,Cold,3,construction,http://www.concreteflooringnetwork.co.uk,,Offline or Error,None,None
Conren Resin Flooring Limited,Conren Resin Flooring Limited,Cold,10,construction,http://www.conrenresinflooring.com,,Online,None,['info@conrenresinflooring.comResin']
Ryebrook Resins Flooring Ltd - Resin Floor Contractors,Ryebrook Resins Flooring,Cold,10,construction,http://www.ryebrook.co.uk,https://www.facebook.com/RyebrookResins,Online,"['https://www.facebook.com/RyebrookResins', 'https://www.facebook.com/RyebrookResins']","['info@ryebrook.co.uk', '957520info@ryebrook.co.ukKingston']"
Degafloor Ltd,Degafloor,Cold,9,construction,http://www.degafloor.com,https://www.facebook.com/DegafloorLtd,Online,"['https://www.facebook.com/DegafloorLtd', 'https://www.facebook.com/DegafloorLtd', 'https://www.facebook.com/DegafloorLtd']",None
Zenith Flooring,Zenith Flooring,Cold,4,construction,http://www.zenithflooring.co.uk,,Online,None,"['info@zenithflooring.co.uk', 'Usinfo@zenithflooring.co.ukGET']"
MDFITOUT LIMITED,MDFITOUT LIMITED,Cold,8,construction,http://www.mdfitout.co.uk,https://www.facebook.com/mdfitout,Online,"['https://www.instagram.com/mdfitout_ltd/', 'https://www.facebook.com/mdfitout']",['info@mdfitout.co.uk']
Partner Flooring,Partner Flooring,Cold,2,construction,http://www.partnerflooring.com,,Online,None,None
Olympian Marble Corporation,Olympian Marble,Cold,2,building materials,http://www.olympianmarble.com,,Online,['https://www.instagram.com/olympianmarble/'],"['Info@Olympianmarble.com', 'Info@olympianmarble.com']"
ELITE RENOVATIONS ACT,ELITE RENOVATIONS ACT,Cold,1,construction,http://www.eliterenoact.com,,Online,"['https://www.facebook.com/ELITERenovationsACT', 'https://www.instagram.com/ELITERenovationsACT', 'https://www.facebook.com/ELITERenovationsACT', 'https://www.instagram.com/ELITERenovationsACT']",['info@eliterenoact.com']
"CI Flooring, LLC.",CI Flooring,Cold,8,construction,http://www.ciflooringllc.com,https://www.facebook.com/CI-Flooring-LLC-110425418428646,Online,"['https://www.instagram.com/ci_flooring/', 'https://www.facebook.com/CI-Flooring-LLC-110425418428646', 'https://www.instagram.com/ci_flooring/', 'https://www.facebook.com/CI-Flooring-LLC-110425418428646']",['63129info@ciflooringllc.com']
Flooring Direct NZ,Flooring Direct NZ,Cold,7,construction,http://www.flooringdirect.co.nz,,Online,['https://www.instagram.com/flooringdirectnz/'],None
SR Vloeren,SR Vloeren,Cold,9,construction,http://www.sr-vloeren.nl,,Online,None,['info@ruysgroep.nl']
NOBEL Flooring,NOBEL Flooring,Cold,7,construction,http://www.nobelflooring.com,https://www.facebook.com/nobelflooring/,Online,"['https://www.facebook.com/nobelflooring/', 'https://www.instagram.com/nobelflooring/']",['info@nobelflooring.com']
Ryno Custom Flooring,Ryno Custom Flooring,Cold,3,construction,http://www.rynofloors.com,https://facebook.com/RynoCustomFloors,Offline or Error,None,None
BRT Flooring,BRT Flooring,Cold,2,construction,http://www.brtflooring.com,,Online,"['https://www.facebook.com/brtflooring ', 'https://www.instagram.com/brt_intertech/', 'https://www.facebook.com/brtflooring ', 'https://www.instagram.com/brt_intertech/', 'https://www.facebook.com/brtflooring', 'https://www.instagram.com/brt_intertech/']",['sikawat@smartmattasia.comTel']
CRT Flooring Specialists Ltd,CRT Flooring Specialists,Cold,8,construction,http://www.crtflooringspecialists.co.uk,https://www.facebook.com/crtflooringspecialists/,Online,['https://www.facebook.com/crtflooringspecialists'],['Byrichard@crtflooring.co.uk']
New Homes Flooring,New Homes Flooring,Cold,10,construction,http://www.newhomesflooring.co.uk,,Online,"['https://en-gb.facebook.com/NewHomesFlooring/', 'https://www.instagram.com/newhomesflooring/', 'https://en-gb.facebook.com/NewHomesFlooring/', 'https://www.instagram.com/newhomesflooring/', 'https://en-gb.facebook.com/NewHomesFlooring/', 'https://www.instagram.com/newhomesflooring/']",None
